,title,artist_display,date_display,date_start,date_end,medium,image_id,url,intro,overview,style,style_tags,theme,theme_tags,main_objects,other_objects,movement,object_tags,tags
1929,Woman with a Parasol - Madame Monet and Her Son,"Claude Monet (French, 1840-1926)",1875,1875.0,1875.0,Oil on canvas,NGA-99758d9d-c10b-4d02-a198-7e49afb1f3a6,"https://api.nga.gov/iiif/99758d9d-c10b-4d02-a198-7e49afb1f3a6/full/1686,/0/default.jpg","A serene portrayal of family amidst nature, bathed in sunlight and shadow.","The painting depicts Madame Monet and her son standing in a blooming field. She carries a parasol, shielding her from the sun. The light and shadow play across her figure and the landscape, emphasizing the fleeting moments of a bright, windy day. Her son is depicted farther in the background, looking toward the viewer, creating a sense of depth in the field.","This painting is a prime example of Impressionism, a style characterized by the depiction of light and its changing qualities, emphasizing the momentary aspects of a scene. Monet used quick brushstrokes that capture the essence and vibration of the light without focusing on the meticulous details. The colors are mixed on the canvas, with the blue of the sky and green of the field layered in a way that brings the scene to life with dynamism and immediacy.","['Impressionism', 'Light', 'Brushstrokes', 'Vibrant', 'Atmospheric', 'Realism']","The theme of the artwork revolves around the intimate and everyday moment of a mother and son enjoying the simplicity of nature. It captures the ethos of Impressionist art, which often centered around leisurely outdoor scenes, family, and the interaction of light with objects.","['Family', 'Nature', 'Light and Shadow', 'Leisure', 'Intimacy', 'Daily Life']","{'Madame Monet': 'Madame Monet is shown in resplendent white, her figure softened by sunlight and shadow, under a billowing green parasol.', 'Her Son': 'Positioned in the background, her son is rendered softly, his gaze directed outward, anchoring the composition.'}","['parasol', 'field', 'flowers', 'sky', 'clouds']",['Impressionism'],"['Madame Monet', 'Her Son', 'parasol', 'field', 'flowers', 'sky', 'clouds']","['Impressionism', 'Brushstrokes', 'Vibrant', 'Atmospheric', 'Realism', 'Family', 'Nature', 'Light And Shadow', 'Leisure', 'Intimacy', 'Daily Life', 'Field', 'Flowers', 'Sky', 'Clouds']"
1579,Haystacks,"Georges Seurat (French, 1859-1891)",c. 1882,1882.0,1882.0,Oil on wood,NGA-0531b959-f183-41ac-b321-e5a3f28c28f1,"https://api.nga.gov/iiif/0531b959-f183-41ac-b321-e5a3f28c28f1/full/1686,/0/default.jpg",Serene depiction of haystacks in a field under a vast sky.,"The painting portrays multiple haystacks with a backdrop of greenery and a wide, textured sky. Subtle structures appear in the distance, suggesting a rural landscape. The haystacks, as the focal point, are bathed in warm tones, standing tall against the horizon.","Seurat's 'Haystacks' reflects the early influences of Impressionism with a loose, textured brushwork and a keen interest in natural light and color. While not as rigidly pointillist as his later works, the painting demonstrates a transition with its application of separate brush strokes that blend color from a distance.","['Impressionism', 'Post-Impressionism', 'Natural light', 'Color', 'Brushwork']","The theme centers on the rural countryside, highlighting the everyday activity of farming. It captures the essence of agricultural life and the cycle of seasons, showcasing a connection to nature and the passage of time as one views the harvested fields.","['Rural life', 'Agriculture', 'Nature', 'Seasons', 'Time']","{'Haystacks': 'Golden haystacks dominate the foreground, depicted with varied brush strokes that capture the texture of gathered harvest.'}","['Sky', 'Field', 'Vegetation', 'Distant structures']",['Impressionism'],"['Haystacks', 'Sky', 'Field', 'Vegetation', 'Distant structures']","['Impressionism', 'Post-Impressionism', 'Natural Light', 'Rural Life', 'Agriculture', 'Nature', 'Seasons', 'Time', 'Haystacks', 'Sky', 'Field', 'Vegetation']"
2156,Woman Bathing Her Feet in a Brook,"Camille Pissarro (French, 1830-1903)",1894/95,1894.0,1895.0,Oil on canvas,ARTIC-5ccaee46-a1a0-5035-821c-0547aa35c070,"https://www.artic.edu/iiif/2/5ccaee46-a1a0-5035-821c-0547aa35c070/full/1686,/0/default.jpg",A serene depiction of a moment of everyday tranquility in nature.,"The painting captures a solitary woman seated by a brook, delicately washing her feet, surrounded by lush greenery that reflects Pissarro's appreciation of rural life. The woman’s pose suggests a peaceful interlude, with her attention focused on the simple act of bathing.","Pissarro employs short, textured brushstrokes characteristic of Impressionism, creating a vibrant, dappled effect that conveys the interplay of light and color. His technique reflects the fleeting quality of the natural setting and the transient moment captured. The use of light and shadow enhances the feeling of depth and the palpable atmosphere.","['Impressionism', 'Brushwork', 'Light', 'Color', 'Naturalism']","The theme of the artwork is the harmony between humans and nature, emphasizing the quiet beauty of rural life and daily rituals. It also showcases the interconnection of humanity with the natural world and the simple pleasures found therein.","['Nature', 'Rural Life', 'Serenity', 'Human Interaction', 'Daily Life', 'Tranquility']","{'Woman': 'A woman gracefully bending over to wash her feet in the brook, enveloped by the serene green landscape.', 'Brook': 'A gently flowing brook where the woman bathes her feet, reflecting dappled sunlight through the canopy.', 'Trees': 'Tall trees cloaked in dense foliage that towers above and frames the scene of the pastoral idyll.'}","['Rock', 'Shoes', 'Dappled light', 'Shadows']",['Impressionism'],"['Woman', 'Brook', 'Trees', 'Rock', 'Shoes', 'Dappled light', 'Shadows']","['Impressionism', 'Naturalism', 'Nature', 'Rural Life', 'Serenity', 'Human Interaction', 'Daily Life', 'Tranquility', 'Woman', 'Trees', 'Shoes', 'Shadows']"
1861,The Olive Orchard,"Vincent van Gogh (Dutch, 1853-1890)",1889,1889.0,1889.0,Oil on canvas,NGA-f07617e8-43ad-4954-8223-4b40dce37061,"https://api.nga.gov/iiif/f07617e8-43ad-4954-8223-4b40dce37061/full/1686,/0/default.jpg",A vibrant display of nature and human presence amidst twisted olive trees.,"The artwork captures a sunlit olive orchard with several gnarled trees under a vast, encompassing sky. Two people work among the trees, one atop a ladder, pruning branches, while the other, possibly a woman, stands below, likely assisting. The ground is uneven, with swaths of earth and vegetation patchworked across the scene.","Vincent van Gogh's 'The Olive Orchard' exhibits his signature Post-Impressionist style with bold, expressive brushstrokes and a vivid color palette. The painting emphasizes the textural quality of the trees and foliage. Swirls and lines in the sky and ground echo the movement within nature, contributing to an intense, emotional expression of the scene.","['Post-Impressionism', 'expressive', 'brushstrokes', 'vivid', 'textural', 'emotional', 'nature']","The painting delves into the relationship between humans and nature, highlighting the labor involved in tending to the olive trees. It also reflects the beauty and complexity of the natural world, as seen through the twisted forms of the trees and the lively play of light and color.","['nature', 'human presence', 'labor', 'agriculture', 'beauty', 'complexity', 'light', 'color']","{'olive trees': 'The olive trees stand with twisting trunks and branches, reflecting the rugged beauty and resilience of nature within the orchard.', 'workers': 'One worker atop a ladder prunes the tree, while another stands below, showcasing human interaction with and dependence on nature.'}","['sky', 'ground', 'ladder']",['Post-Impressionism'],"['olive trees', 'workers', 'sky', 'ground', 'ladder']","['Post-Impressionism', 'Expressive', 'Brushstrokes', 'Vivid', 'Textural', 'Emotional', 'Nature', 'Human Presence', 'Labor', 'Agriculture', 'Complexity', 'Sky', 'Ground']"
498,Scenes from a Legend,"Giovanni Larciani (Master of the Kress Landscapes) (Florentine, 1484-1527)",probably c. 1515/1520,1515.0,1520.0,Oil on canvas,NGA-08ccd023-4e99-4f91-8ab6-7fa0511b5dc5,"https://api.nga.gov/iiif/08ccd023-4e99-4f91-8ab6-7fa0511b5dc5/full/1686,/0/default.jpg",A panoramic tapestry of human activity woven into a serene landscape.,"This landscape painting offers a series of vignettes, each telling part of a legend. We see various individuals engaged in different activities, spread across an expansive natural setting with trees, rocks, and distant buildings. The atmosphere is one of harmony between human and nature, with each figure subtly integrated into their surroundings.","The artwork is in the style of the Italian Renaissance, showcasing characteristics such as attention to detail, balanced composition, and an aspiration to depict the natural world realistically. The use of perspective is evident in the placement of figures and buildings. The color palette is subdued, emphasizing earthy tones that complement the narrative's pastoral essence.","['Italian Renaissance', 'naturalism', 'realistic', 'subdued color palette', 'harmonious composition', 'perspective']","The painting's theme appears to encapsulate scenes from a legend, possibly rooted in folklore or historical event. It captures the essence of storytelling through art, where each group of figures contributes to a larger narrative, inviting the viewer to contemplate the connections between the scenes.","['legend', 'folklore', 'storytelling', 'historical', 'narrative art']","{'nature': 'A lush depiction of nature dominates the scene, with detailed trees and rocky outcrops framing the human activities.', 'figures': 'The people within the painting engage in various activities, some riding horses, others conversing, adding a dynamic element to the scene.', 'architecture': 'Ancient buildings in the distance lend a sense of timelessness and contextual grounding to the legend being depicted.'}","['sky', 'distant hills', 'pathways', 'foliage']",['Renaissance'],"['nature', 'figures', 'architecture', 'sky', 'distant hills', 'pathways', 'foliage']","['Italian Renaissance', 'Naturalism', 'Realistic', 'Subdued Color Palette', 'Harmonious Composition', 'Perspective', 'Historical', 'Narrative', 'Nature', 'Figures', 'Architecture', 'Sky', 'Distant Hills', 'Pathways', 'Foliage', 'Renaissance']"
2336,The Poet's Garden,"Vincent van Gogh (Dutch, 1853-1890)",1888,1888.0,1888.0,Oil on canvas,ARTIC-9ea77636-76e9-9031-6b92-ff34512d7cbc,"https://www.artic.edu/iiif/2/9ea77636-76e9-9031-6b92-ff34512d7cbc/full/1686,/0/default.jpg","A vibrant, textured depiction of a lush garden painted with emotion and intensity.","The painting captures a verdant garden scene filled with thriving treetops and a lively green foreground. The garden is alive with various species of plants and trees, suggesting a quiet, secluded spot that invites contemplation. The sky is minimally visible, overwhelmed by the towering foliage.","Characteristic of Van Gogh’s Post-Impressionist style, the painting uses bold, visible brushstrokes and a rich, expressive color palette. The artist's emotional state is reflected in the choice of colors and fervent application of paint. This intensity of feeling turns a regular garden scene into a swirling, dynamic expression of nature.","['Post-Impressionism', 'Visible Brushstrokes', 'Vibrant Colors', 'Expressive', 'Textured', 'Emotional']","The theme of the artwork is a celebration of nature’s beauty, particularly the tranquility and inspiration a garden can offer to a poet or any reflective soul. There is a sense of peace and creative sanctuary within this lush environment.","['Nature', 'Garden', 'Tranquility', 'Inspiration', 'Reflection', 'Sanctuary']","{'Trees': ""Diverse trees dominate the scene, their dense canopies rendered in thick, vigorous strokes, signifying the heart of nature's splendor."", 'Grass': 'The foreground is covered in grass, depicted with quick, lively strokes of varying shades of green, adding depth and life to the scene.'}","['Flowers', 'Bushes', 'Sky']",['Post-Impressionism'],"['Trees', 'Grass', 'Flowers', 'Bushes', 'Sky']","['Post-Impressionism', 'Visible Brushstrokes', 'Vibrant Colors', 'Expressive', 'Emotional', 'Nature', 'Garden', 'Tranquility', 'Inspiration', 'Reflection', 'Trees', 'Grass', 'Flowers', 'Bushes', 'Sky']"
2455,"Stack of Wheat (Thaw, Sunset)","Claude Monet (French, 1840-1926)",1890/91,1891.0,1891.0,Oil on canvas,ARTIC-8bd40b36-43ea-8b02-d76a-b325962b86db,"https://www.artic.edu/iiif/2/8bd40b36-43ea-8b02-d76a-b325962b86db/full/1686,/0/default.jpg",Captivating depiction of agricultural bounty under a transitioning sky.,"The painting showcases a solitary stack of wheat centered in a vast field during sunset. The warm and cool hues subtly blend to convey the chilled air of thawing ground and the fading light of day, providing a serene and contemplative atmosphere. The background features a distant treeline under a sky painted with gentle shades of yellow, purple, and blue, reflecting the day's end.","Monet's artwork is a classic example of Impressionism, characterized by his attention to the nuances of natural light and color. Quick, visible brushstrokes and a muted palette evoke the fleeting moments of dusk. This technique captures the essence of the subject rather than the fine details, allowing viewers to engage with the painting emotionally and experience the changing atmospheric conditions and light inherent to the natural world.","['Impressionism', 'Natural Light', 'Color', 'Atmospheric', 'Emotive']","The theme revolves around the natural cycle of seasons, focusing on the transitional period between winter and spring, as suggested by the thawing landscape. It also explores the beauty and transience of daylight as it passes into night, inviting reflection on the passage of time and the ongoing rhythm of agricultural life.","['Seasons', 'Transition', 'Daylight', 'Time', 'Agriculture']","{'Wheat Stack': 'Dominant image of the haystack, portrayed with textured brushstrokes in reddish-brown tones, symbolizing the harvested yield and the changing seasons.'}","['Field', 'Treeline', 'Sky']",['Impressionism'],"['Wheat Stack', 'Field', 'Treeline', 'Sky']","['Impressionism', 'Natural Light', 'Atmospheric', 'Emotive', 'Seasons', 'Transition', 'Time', 'Agriculture', 'Field', 'Sky']"
1580,Man with a Hoe,"Georges Seurat (French, 1859-1891)",c. 1882,1882.0,1882.0,Oil on wood,NGA-52b425a4-1b7f-4f9a-a7c8-3f88611a5243,"https://api.nga.gov/iiif/52b425a4-1b7f-4f9a-a7c8-3f88611a5243/full/1686,/0/default.jpg","A harmonious portrayal of labor, capturing a figure toiling in the fields.","This artwork features a lone figure bent over while working in a field with a hoe. The atmosphere is one of tranquility and hard labor, with the individual seemingly absorbed in his task. The field stretches behind him, with delineations suggesting rows of crops or plowed land, and in the foreground, lush vegetation appears to be flourishing.","The painting is rendered with visible brushstrokes that blend colors directly on the canvas, characteristic of Pointillism's early stages. There's a focus on the play of light and shadow, with a naturalistic yet slightly abstracted interpretation of the subject. The color palette is rich with earth tones accented by blues and greens, conveying the outdoor setting with an impressionistic touch.","['Impressionism', 'Pointillism', 'Naturalism', 'Colorful', 'Brushwork', 'Light']","The central theme is the dignity of labor, as depicted by the figure's engagement in agricultural work. The painting evokes a sense of connection with the land and highlights the human condition through the lens of a working man immersed in nature.","['Labor', 'Agriculture', 'Dignity', 'Nature', 'Human Condition', 'Toil']","{'man': 'A toiling man is the focus of the painting, hunched over and gripping a hoe, engaged in the enduring task of working the land.', 'hoe': ""The tool in the man's hand, a symbol of agricultural labor and the hard work associated with farming.""}","['field', 'crops', 'vegetation']","['Impressionism', 'Post-Impressionism']","['man', 'hoe', 'field', 'crops', 'vegetation']","['Impressionism', 'Pointillism', 'Naturalism', 'Colorful', 'Labor', 'Agriculture', 'Dignity', 'Nature', 'Human Condition', 'Man', 'Field', 'Vegetation', 'Post-Impressionism']"
1880,The Artist's Garden at V��theuil,"Claude Monet (French, 1840-1926)",1881,1881.0,1881.0,Oil on canvas,NGA-9fc88734-2f9a-4da8-8d46-2b570b201223,"https://api.nga.gov/iiif/9fc88734-2f9a-4da8-8d46-2b570b201223/full/1686,/0/default.jpg",A dazzling display of colors captures the vibrant beauty of a flourishing garden.,"This piece showcases an array of sunflowers towering along a central garden pathway leading towards a small figure, presumably a child, accompanied by a dog. The background reveals a glimpse of a tranquil blue sky, a few distant boats on the water, and the top of buildings beyond the garden’s confines.","The artwork is rendered in the impressionistic style, characterized by visible brushstrokes, a bright color palette, and a focus on the depiction of light and its changing qualities. The loose and almost tactile brushwork creates a sense of movement and spontaneity. Monet’s application of paint varies in thickness and intensity, capturing the ephemeral nature of light and the essence of the landscape rather than its details.","['Impressionism', 'Bright Color Palette', 'Visible Brushstrokes', 'Light', 'Ephemeral', 'Spontaneity']","The theme centers on nature’s beauty and the idyllic tranquility of rural life. It reflects Monet’s fascination with the natural world as captured in fleeting moments. The harmony between nature and human presence is emphasized, invoking a sense of peacefulness.","['Nature', 'Beauty', 'Tranquility', 'Rural Life', 'Fleeting Moments', 'Harmony']","{'Garden Pathway': 'The central focus, this dusty path draws the viewer into the scene, flanked by lush sunflowers and greenery.', 'Sunflowers': 'Tall, vibrant sunflowers dominate the foreground, their bold yellow blooms reaching up towards the light.', 'Child and Dog': ""Near the pathway's end, a child with a white garb stands with a small dog, adding life to the serene setting.""}","['Sky', 'Boats', 'Buildings', 'Green Bushes', 'Flower Pots']",['Impressionism'],"['Garden Pathway', 'Sunflowers', 'Child and Dog', 'Sky', 'Boats', 'Buildings', 'Green Bushes', 'Flower Pots']","['Impressionism', 'Vibrant Color Palette', 'Visible Brushstrokes', 'Ephemeral', 'Spontaneity', 'Nature', 'Tranquility', 'Rural Life', 'Fleeting Moments', 'Harmony', 'Sky', 'Boats', 'Buildings']"
1901,Meadow,"Alfred Sisley (French, 1839-1899)",1875,1875.0,1875.0,Oil on canvas,NGA-1c2440bb-63a8-434b-8cd9-8307226aa917,"https://api.nga.gov/iiif/1c2440bb-63a8-434b-8cd9-8307226aa917/full/1686,/0/default.jpg",A serene depiction of a countryside landscape under a vast sky.,"The artwork presents a lush meadow beneath a spacious sky filled with cumulus clouds. A variety of trees border the field, implying a rural setting. The foreground features an abundance of wildflowers and grass, transitioning into rolling hills and fenced parcels in the middle distance.","This painting follows the Impressionist style, characterized by visible brushstrokes, a lighter palette, and an emphasis on the accurate portrayal of light. Sisley captures the fleeting effects of sunlight and atmosphere. The composition favors a naturalistic landscape rendered with a sense of immediacy, reflecting the Impressionist interest in capturing the essence of a moment.","['Impressionism', 'Naturalism', 'Light', 'Brushstrokes', 'Atmospheric']",The theme of this work lies in the tranquil beauty of the natural world. The meadow's vastness against the sky and play of light and shadow convey a sense of peacefulness. It reflects the beauty of the everyday and the shifting qualities of the landscape.,"['Nature', 'Tranquility', 'Countryside', 'Natural Beauty', 'Rural Life']","{'Meadow': 'The meadow dominates the foreground with a mix of wildflowers and grasses, capturing the rich diversity of countryside flora.', 'Sky': 'The expansive sky filled with fluffy clouds occupies the upper half of the canvas, depicting a dynamic and airy atmosphere.'}","['Trees', 'Fence', 'Hills', 'Wildflowers']",['Impressionism'],"['Meadow', 'Sky', 'Trees', 'Fence', 'Hills', 'Wildflowers']","['Impressionism', 'Naturalism', 'Brushstrokes', 'Atmospheric', 'Nature', 'Tranquility', 'Countryside', 'Natural Beauty', 'Rural Life', 'Sky', 'Trees', 'Fence', 'Hills']"
