,artwork_id,title,creation_year_start,creation_year_end,medium,genre,dimension,full_image_url,display_name,last_name,birth_year,death_year,nationality,location,source,mediums,surfaces,original_url,compressed_url,thumbnail_url,intro,overview,style,style_tags,theme,theme_tags,main_objects,other_objects,movements,artist_family_name,artist_given_name,object_tags,tags,artist_display
6522,MET-3964992c-a515-44c7-b0d5-8393120c867c,Page from a Dispersed Kalpa Sutra (Jain Book of Rituals),1400.0,1499.0,"Ink, opaque watercolor, and gold on paper",Painting,4 3/8 x 10 5/8 in. (11.1 x 27 cm),https://images.metmuseum.org/CRDImages/as/original/DP154934.jpg,,,,,,,MET,"['Ink', 'Watercolor', 'Gold']",['Paper'],https://aicurator.blob.core.windows.net/artwork-images/original/MET-3964992c-a515-44c7-b0d5-8393120c867c.jpg,https://aicurator.blob.core.windows.net/artwork-images/compressed/MET-3964992c-a515-44c7-b0d5-8393120c867c.jpg,https://aicurator.blob.core.windows.net/artwork-images/thumbnails/MET-3964992c-a515-44c7-b0d5-8393120c867c.jpg,A sacred Jain text meticulously inscribed.,"This artwork is a page from a dispersed Kalpa Sutra, a Jain religious text. The page contains scriptural writing in black and red ink, with two prominent red circular marks, possibly indicating important sections or chapters.","The artwork features traditional manuscript aesthetics with a focus on legibility and spiritual significance. The use of red and black ink highlights essential parts of the text. The paper shows slight aging, adding an authentic historical texture. The script is carefully calligraphed, reflecting the reverence for the text it contains.","['manuscript', 'calligraphy', 'traditional']","The theme centers on spirituality and religious devotion, reflecting Jain rituals and teachings. The careful presentation of the text emphasizes its importance in the religious context.","['spirituality', 'religion', 'devotion']","{'text': 'The black and red script fills the page, presenting religious teachings and rituals with clarity and reverence.', 'red_circles': 'Two red circular marks, possibly delineating sections, emphasize important elements within the document.'}",[],['Jain art'],,,"['text', 'red_circles']","['Manuscript', 'Calligraphy', 'Traditional', 'Spirituality', 'Religion', 'Devotion', 'Text', 'Red_Circles', 'Jain']",Unknown
1594,ARTIC-ef96e79b-f481-8114-0804-4bd39c101983,"Early Morning, Tarpon Springs",1892.0,1892.0,Oil on canvas,Painting,107.2 × 82.2 cm (42 3/16 × 32 3/8 in.),https://www.artic.edu/iiif/2/ef96e79b-f481-8114-0804-4bd39c101983/full/max/0/default.jpg,"George Inness (American, 1825–1894)",,1825.0,1894.0,American,United States,ARTIC,['Oil'],['Canvas'],https://aicurator.blob.core.windows.net/artwork-images/original/ARTIC-ef96e79b-f481-8114-0804-4bd39c101983.jpg,https://aicurator.blob.core.windows.net/artwork-images/compressed/ARTIC-ef96e79b-f481-8114-0804-4bd39c101983.jpg,https://aicurator.blob.core.windows.net/artwork-images/thumbnails/ARTIC-ef96e79b-f481-8114-0804-4bd39c101983.jpg,A serene landscape captures the early morning light.,"The painting depicts a tranquil morning scene in Tarpon Springs. Tall trees stretch up into the sky, with a small figure walking through the grassy field. In the background, a few buildings are partially obscured by the woodlands, while a soft light casts gentle shadows on the ground.","This painting exhibits the characteristics of the Tonalism movement, with its soft, muted colors and emphasis on atmosphere. The gentle blending of tones creates a dreamlike quality, and the focus on light and shadow enhances the serene ambiance. Brushstrokes are delicate, allowing the scenery to merge harmoniously, emphasizing tranquility and the emotional impact of the natural setting.","['Tonalism', 'Landscape', 'Realism']","The artwork explores themes of nature, solitude, and morning tranquility. It invites viewers to reflect on the peaceful coexistence of humans and their natural surroundings, emphasizing the beauty of the early hours.","['Nature', 'Solitude', 'Tranquility', 'Morning']","{'trees': 'Tall trees rise prominently, with lush canopies brushing the sky, creating a natural frame.', 'walking_figure': 'A lone figure in a red hat and dark clothing strolls through the field, adding a human element.', 'buildings': 'Distant structures nestle among the trees, hinting at habitation and human presence.'}",['bird'],"['Tonalism', 'Realism']",Inness,George,"['trees', 'walking_figure', 'buildings', 'bird']","['Tonalism', 'Landscape', 'Realism', 'Nature', 'Solitude', 'Tranquility', 'Trees', 'Buildings', 'Bird']",Inness George
9898,TCMA-0ad2cda7-d901-44d5-b419-7fd4c8a8e1f6,Zhao Mengfu Writing the Heart (Hridaya) Sutra in Exchange for Tea,1542.0,1543.0,"handscroll, ink and light color on paper",Painting,"{'image': {'height': 0.206, 'width': 0.783}, 'overall': {'height': 0.211, 'width': 5.536}}",https://openaccess-cdn.clevelandart.org/1963.102/1963.102_print.jpg,"Qiu Ying (Chinese, 1494–1552)",Ying,1494.0,1552.0,Chinese,China,TCMA,"['Ink', 'Color']","['Handscroll', 'Paper']",https://aicurator.blob.core.windows.net/artwork-images/original/TCMA-0ad2cda7-d901-44d5-b419-7fd4c8a8e1f6.jpg,https://aicurator.blob.core.windows.net/artwork-images/compressed/TCMA-0ad2cda7-d901-44d5-b419-7fd4c8a8e1f6.jpg,https://aicurator.blob.core.windows.net/artwork-images/thumbnails/TCMA-0ad2cda7-d901-44d5-b419-7fd4c8a8e1f6.jpg,Elegant depiction of a scholarly exchange in a serene landscape.,"This artwork illustrates Zhao Mengfu writing the Heart Sutra in a tranquil, wooded setting. Nearby, a serene monk, likely the recipient, engages with him. There are other figures and elements like trees and a rocky hill, adding depth to the peaceful scenery.","The painting features delicate brushwork and a subtle color palette typical of Ming Dynasty Chinese art. The use of earthy tones adds to the serenity, while fine lines provide detail, particularly in depicting the figures and nature. This harmonious blend of color and line reflects scholarly pursuits and natural beauty.","['Ming Dynasty', 'delicate brushwork', 'subtle colors', 'detailed figures']","The theme revolves around scholarly exchange and enlightenment. It highlights the cultural and intellectual value of knowledge sharing, represented by the sutra being written in exchange for tea. This reflects a deep appreciation for both literature and everyday simplicity.","['scholarship', 'enlightenment', 'knowledge', 'serenity']","{'Zhao Mengfu': ""An ancient scholar depicted writing at a table, central to the painting's narrative focus."", 'Monk': 'A serene figure engaged with Zhao Mengfu, emphasizing the scholarly exchange and spiritual undercurrent.'}","['trees', 'rocky hill', 'other figures']","['Chinese painting', 'Ming Dynasty art']",Qiu,Ying,"['Zhao Mengfu', 'Monk', 'trees', 'rocky hill', 'other figures']","['Ming Dynasty', 'Delicate Brushwork', 'Subtle Colors', 'Scholarship', 'Enlightenment', 'Knowledge', 'Serenity', 'Monk', 'Trees', 'Other Figures', 'Chinese']",Qiu Ying
3236,NGA-a40be973-8479-4dd8-a4b8-f878924ebf78,Narragansett Bay,1864.0,1864.0,Oil on canvas,Painting,"overall: 51.44 x 81.76 cm (20 1/4 x 32 3/16 in.)
framed: 80.96 × 111.13 × 8.89 cm (31 7/8 × 43 3/4 × 3 1/2 in.)",https://api.nga.gov/iiif/a40be973-8479-4dd8-a4b8-f878924ebf78/full/max/0/default.jpg,William Stanley Haseltine,Haseltine,1835.0,1900.0,American,United States,NGA,['Oil'],['Canvas'],https://aicurator.blob.core.windows.net/artwork-images/original/NGA-a40be973-8479-4dd8-a4b8-f878924ebf78.jpg,https://aicurator.blob.core.windows.net/artwork-images/compressed/NGA-a40be973-8479-4dd8-a4b8-f878924ebf78.jpg,https://aicurator.blob.core.windows.net/artwork-images/thumbnails/NGA-a40be973-8479-4dd8-a4b8-f878924ebf78.jpg,A serene depiction of a rocky coastal landscape.,"The artwork showcases a rocky coastline overlooking the expansive sea, with a sailboat gliding across the horizon. Gulls circle above the gentle waves. The sky is clear and light.","The painting exhibits a realistic style with meticulous attention to detail and light. The use of soft, natural colors enhances the tranquility of the scene. Fine brushwork captures the texture of rocks and the gentle motion of the sea. The composition is balanced, with a wide expanse of sky and sea contrasted by the solidity of the foreground rocks.","['realism', 'landscape', 'naturalism']",The painting reflects themes of nature's serenity and the harmonious relationship between land and sea. It conveys a sense of peace and timeless beauty.,"['nature', 'tranquility', 'seascape']","{'rocks': 'Prominent rocky formations in the foreground provide a textured contrast to the sea.', 'sailboat': 'A single white sailboat on the horizon, representing tranquil navigation and exploration.'}","['seagulls', 'waves', 'sky']","['Hudson River School', 'Luminism']",Haseltine,William Stanley,"['rocks', 'sailboat', 'seagulls', 'waves', 'sky']","['Realism', 'Landscape', 'Naturalism', 'Nature', 'Tranquility', 'Seascape', 'Rocks', 'Sailboat', 'Waves', 'Sky', 'Hudson River School', 'Luminism']",Haseltine William Stanley
5456,MET-e5c8732b-dde9-4ad6-939d-e1eb6e802229,Eight Views from The Tale of Genji,1600.0,1800.0,"Handscroll; ink, color, and gold on silk",Painting,"Image: 13 in. × 25 ft. (33 × 762 cm)
Overall with mounting: 14 in. (35.6 cm)",https://images.metmuseum.org/CRDImages/as/original/2015_300_44_Burke_website.jpg,Ishiyama Moroka,Moroka,1669.0,1734.0,Japanese,Japan,MET,"['Ink', 'Color', 'Gold']","['Handscroll', 'Silk']",https://aicurator.blob.core.windows.net/artwork-images/original/MET-e5c8732b-dde9-4ad6-939d-e1eb6e802229.jpg,https://aicurator.blob.core.windows.net/artwork-images/compressed/MET-e5c8732b-dde9-4ad6-939d-e1eb6e802229.jpg,https://aicurator.blob.core.windows.net/artwork-images/thumbnails/MET-e5c8732b-dde9-4ad6-939d-e1eb6e802229.jpg,Elegant scene from the Genji narrative.,"The artwork depicts an idyllic landscape from 'The Tale of Genji.' A figure sits pensively in a structured area, surrounded by subtle mountains and delicate plants under a serene sky.","The painting uses soft and muted colors, typical of Japanese art, to evoke calmness and tranquility. Fine brushstrokes create intricate details, especially in the vegetation and architecture. The sparse composition allows for an expansive depiction of nature, emphasizing minimalism and elegance common in Yamato-e style. The balance between detailed foreground and ethereal background enhances its timeless quality.","['Japanese', 'Yamato-e', 'minimalism', 'elegant']","The artwork explores themes of solitude and reflection, set against a tranquil natural setting. It captures the serene beauty of Japan’s landscapes while expressing the inner emotions of its subject.","['solitude', 'reflection', 'nature', 'tranquility']","{'figure': 'A solitary figure dressed in traditional attire, sitting within a sheltered space, contemplating the landscape.', 'landscape': 'A harmonious blend of mountains, plants, and water textures creating a serene and peaceful backdrop.'}","['building', 'deer', 'trees']","['Yamato-e', 'Japanese art']",Moroka,Ishiyama,"['figure', 'landscape', 'building', 'deer', 'trees']","['Japanese', 'Yamato-E', 'Minimalism', 'Elegant', 'Solitude', 'Reflection', 'Nature', 'Tranquility', 'Figure', 'Landscape', 'Building', 'Deer', 'Trees']",Moroka Ishiyama
6870,MET-3a1ffcd1-6e92-4405-9a7e-fbf60321403a,Dragon Amid Clouds and Waves,1400.0,1599.0,Hanging scroll; ink on silk,Painting,"Image: 42 15/16 x 26 3/8 in. (109 x 67 cm)
Overall with mounting: 56 13/16 x 33 7/8 in. (144.3 x 86 cm)",https://images.metmuseum.org/CRDImages/as/original/DP-29292-002.jpg,Unidentified artist,artist,,,Unknown,Unknown,MET,['Ink'],"['Hanging scroll', 'Silk']",https://aicurator.blob.core.windows.net/artwork-images/original/MET-3a1ffcd1-6e92-4405-9a7e-fbf60321403a.jpg,https://aicurator.blob.core.windows.net/artwork-images/compressed/MET-3a1ffcd1-6e92-4405-9a7e-fbf60321403a.jpg,https://aicurator.blob.core.windows.net/artwork-images/thumbnails/MET-3a1ffcd1-6e92-4405-9a7e-fbf60321403a.jpg,A mystical dragon emerges through swirling clouds.,"A powerful dragon is depicted flying amidst swirling clouds and waves. The creature's body, with intricate scales, weaves seamlessly through the misty atmosphere, exuding an aura of mystery and majesty.","The artwork displays traditional East Asian art characteristics, with fine, meticulous brushwork capturing the dragon’s scales and the fluid movement of clouds. The subdued color palette consists mainly of browns and grays, emphasizing the ethereal, mystical quality of the scene. The dragon's dynamic pose and the composition reflect a masterful balance between motion and stillness, typical of classical Asian scroll paintings.","['East Asian', 'Traditional', 'Scroll Painting']","The painting conveys themes of power, mystery, and the supernatural. Dragons in East Asian culture symbolize strength, fortune, and control over water, embodying forces beyond human reach.","['Power', 'Mystery', 'Supernatural', 'Cultural Symbolism']","{'dragon': 'A majestic dragon intricately drawn, showcasing its scales and serpentine form, dominates the scene, symbolizing power.', 'clouds': 'Detailed, swirling clouds surround the dragon, enhancing the mystical, ethereal atmosphere of the artwork.'}",['waves'],['Classical Chinese Painting'],,,"['dragon', 'clouds', 'waves']","['East Asian', 'Traditional', 'Scroll', 'Power', 'Mystery', 'Supernatural', 'Dragon', 'Clouds', 'Waves', 'Classical Chinese']",Unknown
4913,MET-5704d07c-9991-409f-8379-054780962dfb,Portrait of the Ōbaku Zen Monk Jifei Ruyi (Sokuhi Nyoitsu),1666.0,1666.0,Hanging scroll; ink and color on silk,Painting,"Image: 43 1/8 × 17 5/16 in. (109.5 × 44 cm)
Overall with mounting: 79 1/4 × 22 1/4 in. (201.3 × 56.5 cm)
Overall with knobs: 79 1/4 × 24 3/8 in. (201.3 × 61.9 cm)",https://images.metmuseum.org/CRDImages/as/original/DP221040.jpg,Kita Genki,Genki,1664.0,1698.0,Japanese,Japan,MET,"['Ink', 'Color']","['Hanging scroll', 'Silk']",https://aicurator.blob.core.windows.net/artwork-images/original/MET-5704d07c-9991-409f-8379-054780962dfb.jpg,https://aicurator.blob.core.windows.net/artwork-images/compressed/MET-5704d07c-9991-409f-8379-054780962dfb.jpg,https://aicurator.blob.core.windows.net/artwork-images/thumbnails/MET-5704d07c-9991-409f-8379-054780962dfb.jpg,A serene portrait of spiritual reflection.,"The artwork depicts a Zen monk seated on a wooden chair, draped in traditional robes of gold, red, and white. He holds a staff in his right hand. Above him are elegant calligraphic inscriptions.","The painting showcases a refined, minimalist style, common in Zen Buddhist art, characterized by subdued colors and clear, precise lines. The balance between detailed portraiture and the simplicity of the surroundings enhances the spiritual focus of the work. The monk's robes are rendered in soft, flowing brushstrokes, emphasizing their elegance and the calm demeanor of the subject. The use of calligraphy adds an element of traditional Japanese art, reflecting the cultural and spiritual background of the piece.","['minimalism', 'Zen', 'traditional Japanese', 'calligraphic']","The artwork embodies themes of enlightenment and tranquility, capturing a moment of introspection and spiritual wisdom. The serene expression and sacred attire highlight the peaceful nature of Zen meditation.","['enlightenment', 'tranquility', 'introspection', 'spiritual']","{'monk': 'The monk is seated, wearing layered robes in soft hues, embodying calm and wisdom. His expression suggests deep contemplation.', 'staff': 'A simple wooden staff, held by the monk, perhaps symbolizing support and guidance in spiritual matters.', 'chair': ""A sturdy wooden chair intricately carved, grounding the monk's presence in simplicity and stability.""}",['calligraphy'],"['Zen art', 'traditional Japanese art']",Kita,Genki,"['monk', 'staff', 'chair', 'calligraphy']","['Minimalism', 'Zen', 'Traditional Japanese', 'Calligraphic', 'Enlightenment', 'Tranquility', 'Introspection', 'Spiritual', 'Monk', 'Staff', 'Chair', 'Calligraphy']",Kita Genki
234,ARTIC-234f3c5c-4630-bbc4-276c-e97b18692696,Twilight in Italy,1874.0,1874.0,Oil on panel,Painting,41.9 × 65.7 cm (16 1/2 × 25 7/8 in.),https://www.artic.edu/iiif/2/234f3c5c-4630-bbc4-276c-e97b18692696/full/max/0/default.jpg,"George Inness (American, 1825–1894)",,1825.0,1894.0,American,United States,ARTIC,['Oil'],['Panel'],https://aicurator.blob.core.windows.net/artwork-images/original/ARTIC-234f3c5c-4630-bbc4-276c-e97b18692696.jpg,https://aicurator.blob.core.windows.net/artwork-images/compressed/ARTIC-234f3c5c-4630-bbc4-276c-e97b18692696.jpg,https://aicurator.blob.core.windows.net/artwork-images/thumbnails/ARTIC-234f3c5c-4630-bbc4-276c-e97b18692696.jpg,A serene landscape showcasing a twilight scene.,"The artwork depicts a vast, tranquil landscape during twilight, with a wide expanse of sky filled with soft, drifting clouds. In the distance, small structures are nestled in the open plains, while the foreground features a gently rolling hillside with sparse trees and foliage.","This painting exemplifies a subtle, atmospheric style, marked by its delicate brushwork and naturalistic color palette. The artist employs a harmonious blend of soft blues, greens, and earthy tones to invoke a serene, peaceful mood. The expansive sky, dominant in the composition, is rendered with smooth transitions of light and shadow, giving depth and dimension to the scene. This approach emphasizes mood and emotion over detail, aligning with the ideals of Tonalism.","['Tonalism', 'landscape', 'naturalistic', 'atmospheric']","The painting explores themes of tranquility and the beauty of nature's transitions. It captures the subtle, meditative moment between day and night, evoking a sense of calm and introspection.","['tranquility', 'nature', 'twilight', 'calmness']","{'sky': 'The vast sky occupies most of the canvas, painted with soft clouds and a gradient of light.', 'hillside': 'Gently rolling hills in the foreground, covered in sparse greenery and bare trees.', 'structures': 'Small distant buildings on the horizon, providing scale and context to the expansive landscape.'}","['trees', 'clouds', 'foliage']","['Tonalism', 'American landscape']",Inness,George,"['sky', 'hillside', 'structures', 'trees', 'clouds', 'foliage']","['Tonalism', 'Landscape', 'Naturalistic', 'Atmospheric', 'Tranquility', 'Nature', 'Sky', 'Hillside', 'Structures', 'Trees', 'Clouds', 'Foliage', 'American Landscape']",Inness George
5470,MET-f0bf23e9-5a71-42a8-bd5b-d1803ab998ad,Herons in the Snow,1830.0,1850.0,Hanging scroll; ink on paper,Painting,51 3/4 x 23 11/16 in. (131.5 x 60.2 cm),https://images.metmuseum.org/CRDImages/as/original/DP277632.jpg,Nakabayashi Chikutō,Chikutō,1776.0,1853.0,Japanese,Japan,MET,['Ink'],"['Hanging scroll', 'Paper']",https://aicurator.blob.core.windows.net/artwork-images/original/MET-f0bf23e9-5a71-42a8-bd5b-d1803ab998ad.jpg,https://aicurator.blob.core.windows.net/artwork-images/compressed/MET-f0bf23e9-5a71-42a8-bd5b-d1803ab998ad.jpg,https://aicurator.blob.core.windows.net/artwork-images/thumbnails/MET-f0bf23e9-5a71-42a8-bd5b-d1803ab998ad.jpg,Elegant herons in a serene snowy landscape.,"The artwork portrays a tranquil scene with four herons standing gracefully on a snowy tree branch. The backdrop is a softly blurred winter landscape, emphasizing the quiet beauty of the herons.","The painting features a minimalist and delicate style, typical of classical Japanese ink painting. The use of monochrome ink wash highlights subtle contrasts and textures. The brushstrokes are fluid yet precise, capturing the serene and quiet ambiance of the winter scene. This minimalism enhances the elegance and grace of the herons, while the softly blurred background suggests a delicate snowfall.","['minimalism', 'ink_wash', 'Japanese_classical']","The theme centers around the tranquility and beauty of nature, capturing a moment of serene stillness amidst a snowy winter setting. It reflects harmony and simplicity.","['nature', 'tranquility', 'winter']","{'herons': 'Four herons stand on a snowy branch, elegantly poised, embodying tranquility and grace within the serene winter landscape.', 'snowy_branch': 'The branch, covered in snow, adds a natural framework to the scene, enhancing the peaceful setting.'}",['blurred_winter_background'],"['Nanga', 'Japanese_ink_painting']",Nakabayashi,Chikutō,"['herons', 'snowy_branch', 'blurred_winter_background']","['Minimalism', 'Ink Wash', 'Japanese Classical', 'Nature', 'Tranquility', 'Winter', 'Nanga']",Nakabayashi Chikutō
12025,TCMA-a6c88662-58c3-4864-8d09-a334236cf089,June Day,1878.0,1878.0,oil on canvas,Painting,"{'unframed': {'height': 0.61, 'width': 0.509}}",https://openaccess-cdn.clevelandart.org/1915.691/1915.691_print.jpg,"William Trost Richards (American, 1833–1905)",Richards,1833.0,1905.0,American,United States,TCMA,['Oil'],['Canvas'],https://aicurator.blob.core.windows.net/artwork-images/original/TCMA-a6c88662-58c3-4864-8d09-a334236cf089.jpg,https://aicurator.blob.core.windows.net/artwork-images/compressed/TCMA-a6c88662-58c3-4864-8d09-a334236cf089.jpg,https://aicurator.blob.core.windows.net/artwork-images/thumbnails/TCMA-a6c88662-58c3-4864-8d09-a334236cf089.jpg,A serene summer landscape bathed in gentle sunlight.,"The painting captures a tranquil forest scene. Sunlight filters through the trees, casting soft shadows on the lush greenery and calm water. A small bridge is visible in the distance.","This artwork exemplifies the American landscape tradition with its detailed, naturalistic rendering. The use of light and shadow creates a peaceful, idyllic atmosphere. The warm, earthy color palette emphasizes the lushness and vibrancy of the summer setting.","['naturalism', 'realism', 'landscape']","The painting reflects harmony within nature, evoking feelings of peace and the timeless beauty of the natural world.","['nature', 'tranquility', 'harmony']","{'trees': 'Tall and majestic, these trees dominate the landscape, their leaves warmly illuminated.', 'bridge': 'Nestled in the background, the bridge adds a point of interest and depth to the scene.', 'river': 'The calm river reflects the surrounding foliage, adding a sense of continuity and peace.'}","['rocks', 'shrubs']",['Hudson River School'],Richards,William Trost,"['trees', 'bridge', 'river', 'rocks', 'shrubs']","['Naturalism', 'Realism', 'Landscape', 'Nature', 'Tranquility', 'Harmony', 'Trees', 'Bridge', 'River', 'Rocks', 'Shrubs', 'Hudson River School']",Richards William Trost
