image_id,channel,channel_weight
NGA-29f42b08-4e31-4a50-9a5f-f0f2d31a7f90,cold_start,1
NGA-99758d9d-c10b-4d02-a198-7e49afb1f3a6,cold_start,1
NGA-8f29e3c9-a289-4d53-abf0-31a66e9e98fa,cold_start,1
NGA-0531b959-f183-41ac-b321-e5a3f28c28f1,cold_start,1
NGA-05e6ca89-e950-4ff7-8463-50f553ce2ad6,cold_start,1
ARTIC-5ccaee46-a1a0-5035-821c-0547aa35c070,cold_start,1
NGA-caafa728-3985-436c-8bac-739ae4a06f65,cold_start,1
ARTIC-ed291bcf-adaa-4acb-aafb-c092b0fd8351,cold_start,1
NGA-fa81f65e-457b-4513-b374-93bc55b19cf2,cold_start,1
NGA-b1d434c3-f0d3-436b-9a76-a87f48ea4151,cold_start,1
NGA-142d053c-f747-4414-afb6-132e67fa6960,cold_start,1
NGA-5bfb4c45-feb8-4dbb-8b77-519c0560dcaf,cold_start,1
NGA-f07617e8-43ad-4954-8223-4b40dce37061,cold_start,1
NGA-b9301087-6e10-447e-9454-daa81d189bd5,cold_start,1
NGA-c78b52c9-ca48-4e92-8a82-0efec04599f2,cold_start,1
NGA-08ccd023-4e99-4f91-8ab6-7fa0511b5dc5,cold_start,1
ARTIC-479aff61-784e-e833-fd82-50ba8c819514,cold_start,1
NGA-eb807a2b-ff3f-4113-8617-d2575a2b4f2d,cold_start,1
NGA-d90cae0a-b696-4da3-913d-d81b77453d36,cold_start,1
NGA-ff1d89ca-7eb4-445d-87cd-35214bd3fff2,cold_start,1
NGA-18480bb2-1e28-4b33-a757-f6e87f677949,cold_start,1
NGA-f2b37bef-9caf-4f86-a6a2-72c5773e9267,cold_start,1
ARTIC-9ea77636-76e9-9031-6b92-ff34512d7cbc,cold_start,1
ARTIC-eba4ff21-3b90-801b-0f0a-1bd913b49049,cold_start,1
NGA-0ef7daea-db7f-4ffa-93eb-e3e4b63b213d,cold_start,1
ARTIC-c12058f4-188f-c6ed-f0fe-52b32acfb296,cold_start,1
NGA-f339a180-c87a-446b-8605-060f7b53f1a3,cold_start,1
NGA-bad46dd7-bc30-4517-8a0d-51ed7e867c3b,cold_start,1
NGA-b565a60f-1432-48c7-8ae8-009497cdbe09,cold_start,1
NGA-eaa4615c-fa8f-4fc5-b207-0866402c872e,cold_start,1
ARTIC-8bd40b36-43ea-8b02-d76a-b325962b86db,cold_start,1
NGA-bef8c58d-15ae-4649-b2ff-ae0ead24714e,cold_start,1
NGA-6cb74e73-7fb1-4a00-8932-5a791aa03358,cold_start,1
NGA-52b425a4-1b7f-4f9a-a7c8-3f88611a5243,cold_start,1
NGA-e9ce6316-5a64-4ffb-986d-069e4d5f56a3,cold_start,1
NGA-9fc88734-2f9a-4da8-8d46-2b570b201223,cold_start,1
NGA-05d4d89e-55ca-4a9e-9e0b-fad84db8ce05,cold_start,1
NGA-38b5d6d9-acd5-4a0b-bd88-0ece50cb989b,cold_start,1
NGA-1c2440bb-63a8-434b-8cd9-8307226aa917,cold_start,1
NGA-82e02d35-bc10-4ac7-a566-d120f3adf6a7,cold_start,1
NGA-6f169290-6717-4c01-9767-2f675230718d,cold_start,1
NGA-8386dbf7-9c18-4027-b132-7ad226dead26,cold_start,1
NGA-6d6753b3-c1ef-494c-9dc3-244e8982c867,cold_start,1
NGA-aca3980f-d5bc-44cb-940d-791f9e8efc88,cold_start,1
NGA-bbedbb38-f641-4efe-b27a-f2e1139508a7,cold_start,1
ARTIC-107dd824-9ae2-b091-9787-5901d5e300da,cold_start,1
NGA-ec3850a9-280f-43b9-8e31-95f7393eef21,cold_start,1
ARTIC-7d533ed4-ff54-fa2c-64f4-2b16bfbb5880,cold_start,1
NGA-8863a7bc-4cc4-4bc1-a5ee-0ac7b92dad76,cold_start,1
NGA-598c115e-1b8d-4bfa-8aeb-6a60430e6f05,cold_start,1
NGA-98e60cb0-0cd5-42ec-8e2f-373104b12e3f,cold_start,1
NGA-8cb10467-fce1-444c-8412-168ec845b730,cold_start,1
NGA-5b9a89da-4995-477b-99f8-14b4254b54f9,cold_start,1
NGA-ff8661ce-70d8-44e6-9694-a1c953877e69,cold_start,1
NGA-8d53492a-ce49-45bb-b4ac-6fd33ad36672,cold_start,1
